Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
3/31/1984,Bahamas,Cessna,Cessna 402BN44NC,Off  BiminiState Airlines,State Airlines,0,6,6
4/18/1984,Brazil,Embraer 110EJ Band./Embraer 110P,Embraer 110EJ Band./Embraer 110P Band.PT GJZ/PT,Imperatriz Brazil,VOTEC / VOTEC,0,19,35
5/8/1984,Egypt,McDonnel,McDonnel F 4E Phantom II?,Elbet Beni Salama Egypt,Force Air Egyptian - Military,19,2,2
5/30/1984,Pennsylvania,Lockheed,Lockheed L 188AF ElectraN5523,Chalkhill Pennsylvania,Zantop International Airlines,0,4,4
6/4/1984,Connecticut,Learjet,Learjet 23AN101PP,Windsor Locks Connecticut,Continental Air,0,3,3
6/19/1984,U.S.A.,Aerospeciale,Aerospeciale AS 350DN5784M,Island Beach New,Corp. Helicopters Raco - Taxi JerseyAir,0,3,3
6/28/1984,Brazil,Embraer 110C,Embraer 110C BandeirantePP SBC,Near Sao Pedro d' Aldeia Brazil,Regional Aéreas Lineas TAM,0,18,18
7/11/1984,Philippines,Bell,Bell UH 1H?,Off Buenavista Philippines,Force Air Philippine - Military,0,30,30
7/12/1984,Italy,Lockheed,Lockheed C 141B64,Sigonella AFB Italy,U.S. Air Force - Military,0,9,9
7/21/1984,American,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300N43SP,Tau Island American,Airways Island Pacific SamoaSouth,0,1,14
8/2/1984,Puerto Rico,Britten,Britten  Norman BN,Vieques Puerto Rico,Link Air RicoVieques,0,9,9
